City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gryazi,52.4966,39.9359,-3.92999999999995,95,100,3.11,RU,2023-02-04 16:05:16
1,cabo san lucas,22.8909,-109.9124,21.950000000000045,52,0,1.03,MX,2023-02-04 16:02:57
2,labuhan,-6.8844,112.2051,25.71000000000004,84,100,2.73,ID,2023-02-04 16:05:20
3,puerto ayora,-0.7393,-90.3518,29.980000000000015,88,24,1.79,EC,2023-02-04 16:05:22
4,mataura,-46.1927,168.8643,21.49000000000001,66,97,2.72,NZ,2023-02-04 16:05:23
5,hilo,19.7297,-155.09,22.379999999999995,93,97,2.24,US,2023-02-04 16:02:33
6,tiksi,71.6872,128.8694,-26.419999999999987,99,100,1.85,RU,2023-02-04 16:05:26
7,bambous virieux,-20.3428,57.7575,26.79000000000002,89,40,3.6,MU,2023-02-04 16:05:29
8,buala,-8.145,159.5921,26.379999999999995,84,99,1.96,SB,2023-02-04 16:05:32
9,guider,9.9342,13.9486,35.21000000000004,10,78,4.27,CM,2023-02-04 16:05:33
10,bluff,-46.6,168.3333,19.05000000000001,76,98,3.55,NZ,2023-02-04 16:05:33
11,busselton,-33.65,115.3333,24.78000000000003,41,95,4.63,AU,2023-02-04 16:05:34
12,sistranda,63.7256,8.834,-0.0199999999999818,55,100,5.99,NO,2023-02-04 16:05:34
13,asau,46.4333,26.4,-1.4899999999999525,96,100,2.74,RO,2023-02-04 16:05:34
14,avarua,-21.2078,-159.775,26.03000000000003,89,40,6.17,CK,2023-02-04 16:05:35
15,vilhena,-12.7406,-60.1458,26.120000000000005,73,75,3.09,BR,2023-02-04 16:03:40
16,menongue,-14.6585,17.691,21.890000000000043,84,95,2.06,AO,2023-02-04 16:05:35
17,kavaratti,10.5669,72.642,27.53000000000003,69,22,2.79,IN,2023-02-04 16:05:36
18,albany,42.6001,-73.9662,-15.17999999999995,49,28,1.34,US,2023-02-04 15:56:26
19,sawtell,-30.3833,153.1,19.010000000000048,94,1,2.06,AU,2023-02-04 16:05:36
20,tasiilaq,65.6145,-37.6368,-2.909999999999968,94,98,4.45,GL,2023-02-04 16:05:37
21,ushuaia,-54.8,-68.3,12.810000000000002,47,20,6.17,AR,2023-02-04 16:05:20
22,punta arenas,-53.15,-70.9167,10.060000000000002,81,100,4.63,CL,2023-02-04 16:05:38
23,mtwara,-10.2667,40.1833,26.629999999999995,78,75,5.66,TZ,2023-02-04 16:05:38
24,cape town,-33.9258,18.4232,26.730000000000015,52,0,3.6,ZA,2023-02-04 16:01:36
25,burnie,-41.0667,145.9167,13.760000000000048,68,11,6.24,AU,2023-02-04 16:05:39
26,los llanos de aridane,28.6585,-17.9182,16.860000000000014,72,75,4.63,ES,2023-02-04 16:05:39
27,hermanus,-34.4187,19.2345,28.78000000000003,77,40,3.49,ZA,2023-02-04 16:05:40
28,tutoia,-2.7619,-42.2744,27.120000000000005,82,50,6.32,BR,2023-02-04 16:01:46
29,georgetown,5.4112,100.3354,26.970000000000027,89,20,1.03,MY,2023-02-04 16:05:40
30,rikitea,-23.1203,-134.9692,25.82000000000005,77,5,8.13,PF,2023-02-04 16:05:41
31,manaure,11.7751,-72.4445,28.96000000000004,56,32,9.35,CO,2023-02-04 16:05:41
32,mar del plata,-38.0023,-57.5575,24.350000000000023,62,20,7.15,AR,2023-02-04 16:04:41
33,tall kayf,37.0833,41.0667,2.660000000000025,87,100,8.23,TR,2023-02-04 16:05:42
34,khandbari,27.3747,87.2039,12.110000000000014,65,25,1.27,NP,2023-02-04 16:05:43
35,magadan,59.5667,150.8,-23.94999999999999,84,88,2.82,RU,2023-02-04 16:03:43
36,aklavik,68.2191,-135.0107,-40.99999999999997,66,0,1.03,CA,2023-02-04 16:05:43
37,kemin,42.7846,75.6892,-2.359999999999957,77,30,2.23,KG,2023-02-04 16:05:44
38,shimoda,34.6667,138.95,5.610000000000014,65,0,6.47,JP,2023-02-04 16:05:44
39,olafsvik,64.8945,-23.7142,1.6299999999999957,60,94,14.92,IS,2023-02-04 16:05:45
40,arlit,18.7369,7.3853,31.970000000000027,9,24,4.02,NE,2023-02-04 16:05:46
41,adrar,20.5022,-10.0711,21.590000000000032,12,94,5.63,MR,2023-02-04 16:05:46
42,hobart,-42.8794,147.3294,14.03000000000003,75,100,7.72,AU,2023-02-04 16:02:40
43,dudinka,69.4058,86.1778,-13.759999999999993,96,100,3.31,RU,2023-02-04 16:05:47
